datetime,Latitude,Longitude
2020-02-19 16:49:39,nan,nan
2020-02-19 16:49:42,nan,nan
2020-02-19 16:49:45,nan,nan
2020-02-19 16:49:48,nan,nan
2020-02-19 16:49:51,nan,nan
2020-02-19 16:49:54,nan,nan
2020-02-19 16:49:57,nan,nan
2020-02-19 16:50:00,nan,nan
2020-02-19 16:50:03,nan,nan
2020-02-19 16:50:06,nan,nan
2020-02-19 16:50:09,nan,nan
2020-02-19 16:50:12,nan,nan
2020-02-19 16:50:15,nan,nan
2020-02-19 16:50:18,nan,nan
2020-02-19 16:50:21,nan,nan
2020-02-19 16:50:24,nan,nan
2020-02-19 16:50:27,nan,nan
2020-02-19 16:50:30,nan,nan
2020-02-19 16:50:33,nan,nan
2020-02-19 16:50:36,nan,nan
2020-02-19 16:50:39,nan,nan
2020-02-19 16:50:42,nan,nan
2020-02-19 16:50:45,nan,nan
2020-02-19 16:50:48,nan,nan
2020-02-19 16:50:51,nan,nan
2020-02-19 16:50:54,nan,nan
2020-02-19 16:50:57,nan,nan
2020-02-19 16:51:00,nan,nan
2020-02-19 16:51:03,nan,nan
2020-02-19 16:51:06,nan,nan
2020-02-19 16:51:09,nan,nan
2020-02-19 16:51:12,nan,nan
2020-02-19 16:51:16,nan,nan
2020-02-19 16:51:19,nan,nan
2020-02-19 16:51:22,nan,nan
2020-02-19 16:51:25,nan,nan
2020-02-19 16:51:28,nan,nan
2020-02-19 16:51:31,nan,nan
2020-02-19 16:51:34,nan,nan
2020-02-19 16:51:37,nan,nan
2020-02-19 16:51:40,nan,nan
2020-02-19 16:51:43,nan,nan
2020-02-19 16:51:46,nan,nan
2020-02-19 16:51:49,nan,nan
2020-02-19 16:51:52,nan,nan
2020-02-19 16:51:55,nan,nan
2020-02-19 16:51:58,nan,nan
2020-02-19 16:52:01,nan,nan
2020-02-19 16:52:04,nan,nan
2020-02-19 16:52:07,nan,nan
2020-02-19 16:52:10,nan,nan
2020-02-19 16:52:13,nan,nan
2020-02-19 16:52:16,nan,nan
2020-02-19 16:52:19,nan,nan
2020-02-19 16:52:22,nan,nan
2020-02-19 16:52:25,nan,nan
2020-02-19 16:52:28,nan,nan
2020-02-19 16:52:31,nan,nan
2020-02-19 16:52:34,nan,nan
2020-02-19 16:52:37,nan,nan
2020-02-19 16:52:40,nan,nan
2020-02-19 16:52:43,nan,nan
2020-02-19 16:52:46,nan,nan
2020-02-19 16:52:49,nan,nan
2020-02-19 16:52:52,nan,nan
2020-02-19 16:52:55,nan,nan
2020-02-19 16:52:58,nan,nan
2020-02-19 16:53:01,nan,nan
2020-02-19 16:53:04,nan,nan
2020-02-19 16:53:07,nan,nan
2020-02-19 16:53:10,nan,nan
2020-02-19 16:53:14,nan,nan
2020-02-19 16:53:17,nan,nan
2020-02-19 16:53:20,nan,nan
2020-02-19 16:53:23,nan,nan
2020-02-19 16:53:26,nan,nan
2020-02-19 16:53:29,nan,nan
2020-02-19 16:53:32,nan,nan
2020-02-19 16:53:35,nan,nan
2020-02-19 16:53:38,nan,nan
2020-02-19 16:53:41,nan,nan
2020-02-19 16:53:44,nan,nan
2020-02-19 16:53:47,nan,nan
2020-02-19 16:53:50,nan,nan
2020-02-19 16:53:53,nan,nan
2020-02-19 16:53:56,nan,nan
2020-02-19 16:53:59,nan,nan
2020-02-19 16:54:02,nan,nan
2020-02-19 16:54:05,nan,nan
2020-02-19 16:54:08,nan,nan
2020-02-19 16:54:11,nan,nan
